student_id,class,grade
0,engineering,70
0,chemistry,86
1,math,38
1,engineering,60
1,english,93
1,history,48
2,math,16
2,history,89
2,gym,49
2,english,1
3,writing,65
3,math,94
3,history,84
4,writing,17
4,engineering,75
4,history,8
5,gym,81
5,chemistry,26
5,history,57
6,engineering,69
6,writing,8
6,civics,64
7,gym,58
7,civics,88
7,engineering,69
8,english,10
8,civics,58
8,math,16
9,writing,33
9,math,5
10,chemistry,2
10,english,91
10,math,57
10,civics,50
11,english,48
11,civics,31
11,math,70
11,gym,16
12,gym,4
12,english,98
12,math,46
12,engineering,60
13,chemistry,44
13,gym,61
14,math,51
14,english,69
14,civics,69
14,history,7
15,civics,92
15,writing,76
15,chemistry,94
16,math,31
16,civics,43
16,engineering,63
17,writing,83
17,math,11
17,engineering,31
18,history,77
18,math,37
18,writing,97
18,engineering,2
19,engineering,45
19,english,22
19,chemistry,63
20,chemistry,2
20,writing,15
20,engineering,50
20,history,84
21,writing,51
21,engineering,52
22,history,66
22,writing,57
22,chemistry,4
23,writing,23
23,history,4
23,chemistry,25
24,english,29
24,writing,13
24,math,45
25,engineering,53
25,gym,69
25,math,66
25,civics,8
26,math,54
26,chemistry,15
26,gym,69
26,history,91
27,civics,86
27,engineering,50
27,history,69
27,writing,17
28,history,51
28,chemistry,96
28,english,80
29,civics,48
29,history,0
29,writing,47
30,gym,30
30,history,18
30,math,96
30,civics,61
31,gym,59
31,writing,83
31,engineering,83
32,math,44
32,english,45
32,chemistry,33
32,gym,97
33,civics,56
33,gym,86
33,history,30
34,english,18
34,chemistry,10
34,history,24
34,gym,26
35,gym,33
35,engineering,87
35,writing,63
35,english,58
36,gym,35
36,math,50
36,chemistry,35
36,history,6
37,english,13
37,history,60
37,writing,26
38,engineering,54
38,history,15
38,civics,7
38,math,42
39,english,19
39,writing,60
39,gym,50
39,civics,44
40,chemistry,79
40,english,87
40,math,77
41,english,98
41,civics,12
41,history,84
41,math,5
42,chemistry,41
42,engineering,53
42,english,35
42,math,36
43,writing,64
43,english,18
43,chemistry,62
44,engineering,49
44,history,63
44,writing,63
